wpath|transcript
/data/TORGO/dysarthric/M01_1_0048.wav|glow
/data/TORGO/dysarthric/M05_2_0132.wav|shoot
/data/TORGO/dysarthric/M02_2_0232.wav|a good attitude is unbeatable
/data/TORGO/dysarthric/F04_2_0122.wav|lair
/data/TORGO/dysarthric/M04_2_0203.wav|prior
/data/TORGO/dysarthric/F03_2_0032.wav|two other cases also were under advisement
/data/TORGO/dysarthric/M02_2_0157.wav|leak
/data/TORGO/dysarthric/M03_2_0017.wav|warm
/data/TORGO/dysarthric/F04_1_0188.wav|whoop
/data/TORGO/dysarthric/M03_2_0208.wav|tie
/data/TORGO/dysarthric/F04_2_0150.wav|take
/data/TORGO/dysarthric/M01_1_0005.wav|when he speaks his voice is just a bit cracked and quivers a trifle
/data/TORGO/dysarthric/M05_2_0121.wav|troop
/data/TORGO/dysarthric/M02_2_0199.wav|six
/data/TORGO/dysarthric/M02_1_0186.wav|charlie
/data/TORGO/dysarthric/M04_2_0040.wav|read
/data/TORGO/dysarthric/M03_2_0223.wav|knew
/data/TORGO/dysarthric/F03_2_0147.wav|the misguided souls have lost their way
/data/TORGO/dysarthric/F04_1_0104.wav|pat
/data/TORGO/dysarthric/F03_1_0068.wav|range
/data/TORGO/dysarthric/F01_1_0064.wav|raid
/data/TORGO/dysarthric/M05_2_0158.wav|bit
/data/TORGO/dysarthric/M05_2_0288.wav|sitter
/data/TORGO/dysarthric/F03_2_0123.wav|spit
/data/TORGO/dysarthric/M05_1_0071.wav|fair
/data/TORGO/dysarthric/F03_2_0046.wav|sparkle
/data/TORGO/dysarthric/M03_2_0066.wav|beat
/data/TORGO/dysarthric/M04_2_0009.wav|slip
/data/TORGO/dysarthric/M01_2_3_0087.wav|thigh
/data/TORGO/dysarthric/F03_3_0009.wav|travel is about the only leisure we have
/data/TORGO/dysarthric/M03_2_0289.wav|leak
/data/TORGO/dysarthric/M04_1_0047.wav|yet he still thinks as swiftly as ever
/data/TORGO/dysarthric/M05_2_0159.wav|bitten
/data/TORGO/dysarthric/M01_2_3_0056.wav|are your grades higher or lower than nancys
/data/TORGO/dysarthric/F04_1_0047.wav|glow
/data/TORGO/dysarthric/M01_2_3_0250.wav|side
/data/TORGO/dysarthric/M02_1_0104.wav|air
/data/TORGO/dysarthric/M05_2_0187.wav|lima
/data/TORGO/dysarthric/F03_3_0207.wav|ride
/data/TORGO/dysarthric/M04_2_0036.wav|knew
/data/TORGO/dysarthric/M01_2_3_0044.wav|back
/data/TORGO/dysarthric/F04_2_0055.wav|the humidity is overwhelming there
/data/TORGO/dysarthric/M02_1_0233.wav|sigh
/data/TORGO/dysarthric/F03_1_0117.wav|chair
/data/TORGO/dysarthric/M02_1_0128.wav|menu
/data/TORGO/dysarthric/M02_1_0146.wav|slip
/data/TORGO/dysarthric/M01_1_0075.wav|rave
/data/TORGO/dysarthric/F03_1_0200.wav|suit
/data/TORGO/dysarthric/F04_1_0157.wav|thigh
/data/TORGO/dysarthric/M05_1_0020.wav|except in the winter when the ooze or snow or ice prevents
/data/TORGO/dysarthric/F03_1_0184.wav|the humidity is overwhelming there
/data/TORGO/dysarthric/M02_1_0048.wav|chair
/data/TORGO/dysarthric/M02_2_0150.wav|kitten
/data/TORGO/dysarthric/F03_3_0039.wav|spit
/data/TORGO/dysarthric/M05_2_0232.wav|barn
/data/TORGO/dysarthric/M04_2_0244.wav|fear
/data/TORGO/dysarthric/F03_1_0072.wav|he slowly takes a short walk in the open air each day
/data/TORGO/dysarthric/F03_1_0108.wav|air
/data/TORGO/dysarthric/M02_1_0062.wav|when he speaks his voice is just a bit cracked and quivers a trifle
/data/TORGO/dysarthric/M04_1_0071.wav|bat
/data/TORGO/dysarthric/M04_2_0296.wav|vat
/data/TORGO/dysarthric/M05_2_0244.wav|part
/data/TORGO/dysarthric/M05_2_0364.wav|hand
/data/TORGO/dysarthric/F03_2_0101.wav|alimony harms a divorced mans wealth
/data/TORGO/dysarthric/M01_2_3_0048.wav|shoot
/data/TORGO/dysarthric/F03_3_0034.wav|dress
/data/TORGO/dysarthric/M03_2_0308.wav|bitten
/data/TORGO/dysarthric/M04_2_0033.wav|except in the winter when the ooze or snow or ice prevents
/data/TORGO/dysarthric/M03_2_0011.wav|tip
/data/TORGO/dysarthric/M05_2_0250.wav|hem
/data/TORGO/dysarthric/M01_2_3_0224.wav|top
/data/TORGO/dysarthric/M04_2_0015.wav|up
/data/TORGO/dysarthric/M03_2_0178.wav|ate
/data/TORGO/dysarthric/M05_2_0017.wav|prior
/data/TORGO/dysarthric/M01_2_3_0161.wav|sigh
/data/TORGO/dysarthric/F04_2_0118.wav|it was a good win for us
/data/TORGO/dysarthric/M01_2_3_0080.wav|though
/data/TORGO/dysarthric/M03_2_0318.wav|the box contained three sweaters
/data/TORGO/dysarthric/F04_1_0113.wav|slip
/data/TORGO/dysarthric/M05_1_0014.wav|read
/data/TORGO/dysarthric/M02_1_0212.wav|four
/data/TORGO/dysarthric/M03_2_0120.wav|three
/data/TORGO/dysarthric/M03_2_0370.wav|much
/data/TORGO/dysarthric/F04_2_0137.wav|written
/data/TORGO/dysarthric/M01_2_3_0120.wav|menu
/data/TORGO/dysarthric/F04_1_0066.wav|read
/data/TORGO/dysarthric/M03_2_0107.wav|the quick brown fox jumps over the lazy dog
/data/TORGO/dysarthric/M01_2_3_0016.wav|train
/data/TORGO/dysarthric/F04_2_0051.wav|side
/data/TORGO/dysarthric/F01_1_0074.wav|bubble
/data/TORGO/dysarthric/M01_2_3_0217.wav|kitten
/data/TORGO/dysarthric/F03_3_0041.wav|most young rise early every morning
/data/TORGO/dysarthric/M02_2_0110.wav|lick
/data/TORGO/dysarthric/M03_2_0145.wav|suit
/data/TORGO/dysarthric/M05_2_0251.wav|brought
/data/TORGO/dysarthric/M05_1_0094.wav|but he always answers banana oil
/data/TORGO/dysarthric/M01_2_3_0002.wav|air
/data/TORGO/dysarthric/M02_1_0168.wav|if you destroy confidence in banks you do something to the economy he said
/data/TORGO/dysarthric/M01_2_3_0059.wav|three
/data/TORGO/dysarthric/M05_2_0125.wav|knew
/data/TORGO/dysarthric/M02_1_0109.wav|bug
/data/TORGO/dysarthric/M01_1_0077.wav|he slowly takes a short walk in the open air each day
/data/TORGO/dysarthric/M03_2_0180.wav|delta
/data/TORGO/dysarthric/M01_2_3_0005.wav|race
/data/TORGO/dysarthric/M01_2_3_0254.wav|students watched as he got out
/data/TORGO/dysarthric/F03_1_0128.wav|select
/data/TORGO/dysarthric/M05_2_0246.wav|a roll of wire lay near the wall
/data/TORGO/dysarthric/M01_2_3_0171.wav|cart
/data/TORGO/dysarthric/M03_2_0279.wav|city
/data/TORGO/dysarthric/F01_1_0040.wav|rave
/data/TORGO/dysarthric/F04_1_0126.wav|up
/data/TORGO/dysarthric/M04_1_0043.wav|beta
/data/TORGO/dysarthric/M02_1_0238.wav|the train approached the depot slowly
/data/TORGO/dysarthric/M02_1_0089.wav|rave
/data/TORGO/dysarthric/F03_2_0027.wav|delta
/data/TORGO/dysarthric/F03_1_0202.wav|rocks
/data/TORGO/dysarthric/M02_2_0188.wav|the little schoolhouse stood empty
/data/TORGO/dysarthric/M01_2_3_0088.wav|mother sews yellow gingham aprons
/data/TORGO/dysarthric/M02_2_0233.wav|wicked
/data/TORGO/dysarthric/F04_1_0042.wav|dont ask me to carry an oily rag like that
/data/TORGO/dysarthric/M02_2_0196.wav|him
/data/TORGO/dysarthric/M01_1_0006.wav|trait
/data/TORGO/dysarthric/M02_2_0098.wav|aluminum silverware can often be flimsy
/data/TORGO/dysarthric/M05_1_0029.wav|horn
/data/TORGO/dysarthric/M01_2_3_0050.wav|suit
/data/TORGO/dysarthric/M03_2_0297.wav|fat
/data/TORGO/dysarthric/M04_1_0048.wav|warm
/data/TORGO/dysarthric/M01_2_3_0185.wav|the misguided souls have lost their way
/data/TORGO/dysarthric/M04_2_0135.wav|though
/data/TORGO/dysarthric/M02_2_0090.wav|where were you while we were away
/data/TORGO/dysarthric/F03_1_0185.wav|my sister made the flowered curtains
/data/TORGO/dysarthric/F03_3_0204.wav|lake
/data/TORGO/dysarthric/M04_2_0021.wav|yes
/data/TORGO/dysarthric/M03_2_0354.wav|side
/data/TORGO/dysarthric/M01_2_3_0206.wav|when all else fails use force
/data/TORGO/dysarthric/M01_2_3_0129.wav|the train approached the depot slowly
/data/TORGO/dysarthric/M01_2_3_0134.wav|coupe
/data/TORGO/dysarthric/F04_2_0035.wav|jungle
/data/TORGO/dysarthric/M01_2_3_0252.wav|lima
/data/TORGO/dysarthric/M02_2_0178.wav|the books are very expensive
/data/TORGO/dysarthric/F03_1_0161.wav|mut
/data/TORGO/dysarthric/F03_2_0094.wav|hum
/data/TORGO/dysarthric/M05_2_0011.wav|charlie
/data/TORGO/dysarthric/M01_2_3_0272.wav|hitting
/data/TORGO/dysarthric/F04_2_0020.wav|boot
/data/TORGO/dysarthric/M02_2_0127.wav|take
/data/TORGO/dysarthric/M04_2_0029.wav|when he speaks his voice is just a bit cracked and quivers a trifle
/data/TORGO/dysarthric/M04_2_0199.wav|hear
/data/TORGO/dysarthric/M04_2_0280.wav|hat
/data/TORGO/dysarthric/M03_2_0124.wav|prior
/data/TORGO/dysarthric/M02_1_0136.wav|hear
/data/TORGO/dysarthric/F01_1_0104.wav|yet he still thinks as swiftly as ever
/data/TORGO/dysarthric/M05_2_0042.wav|mother sews yellow gingham aprons
/data/TORGO/dysarthric/M05_1_0017.wav|sheet
/data/TORGO/dysarthric/F01_1_0109.wav|born
/data/TORGO/dysarthric/M04_2_0245.wav|droop
/data/TORGO/dysarthric/F03_2_0067.wav|spain
/data/TORGO/dysarthric/M02_1_0101.wav|race
/data/TORGO/dysarthric/M04_2_0102.wav|horn
/data/TORGO/dysarthric/M02_1_0042.wav|tip
/data/TORGO/dysarthric/M01_2_3_0138.wav|pad
/data/TORGO/dysarthric/F03_3_0173.wav|red
/data/TORGO/dysarthric/F03_1_0069.wav|down
/data/TORGO/dysarthric/M01_2_3_0228.wav|him
/data/TORGO/dysarthric/F04_2_0117.wav|bloat
/data/TORGO/dysarthric/M03_2_0332.wav|dark
/data/TORGO/dysarthric/M01_2_3_0039.wav|bad
/data/TORGO/dysarthric/F04_1_0014.wav|stubble
/data/TORGO/dysarthric/M05_2_0327.wav|dread
/data/TORGO/dysarthric/F04_2_0145.wav|league
/data/TORGO/dysarthric/M01_1_0099.wav|up
/data/TORGO/dysarthric/M02_1_0188.wav|ate
/data/TORGO/dysarthric/M03_2_0243.wav|sigh
/data/TORGO/dysarthric/M02_1_0054.wav|trait
/data/TORGO/dysarthric/M02_2_0091.wav|sleep
/data/TORGO/dysarthric/F01_1_0033.wav|car
/data/TORGO/dysarthric/F04_1_0177.wav|my sister made the flowered curtains
/data/TORGO/dysarthric/M04_2_0172.wav|my sister made the flowered curtains
/data/TORGO/dysarthric/F03_1_0106.wav|beat
/data/TORGO/dysarthric/M01_2_3_0189.wav|quebec
/data/TORGO/dysarthric/M01_2_3_0233.wav|dart
/data/TORGO/dysarthric/M04_1_0029.wav|share
/data/TORGO/dysarthric/M04_1_0072.wav|torn
/data/TORGO/dysarthric/M04_2_0260.wav|sleep
/data/TORGO/dysarthric/M03_2_0206.wav|menu
/data/TORGO/dysarthric/M01_2_3_0018.wav|chair
/data/TORGO/dysarthric/F03_1_0098.wav|raid
/data/TORGO/dysarthric/F01_1_0070.wav|horn
/data/TORGO/dysarthric/F03_3_0100.wav|sew
/data/TORGO/dysarthric/M04_2_0121.wav|warm
/data/TORGO/dysarthric/M03_2_0055.wav|read
/data/TORGO/dysarthric/M02_1_0098.wav|a long flowing beard clings to his chin
/data/TORGO/dysarthric/M01_2_3_0062.wav|sigh
/data/TORGO/dysarthric/M05_2_0028.wav|youre used to being on the field
/data/TORGO/dysarthric/M04_2_0078.wav|store
/data/TORGO/dysarthric/M01_2_3_0124.wav|slip
/data/TORGO/dysarthric/M03_2_0195.wav|lip
/data/TORGO/dysarthric/M02_1_0072.wav|left
/data/TORGO/dysarthric/M02_1_0154.wav|the islands are sparsely populated
/data/TORGO/dysarthric/M05_2_0169.wav|leak
/data/TORGO/dysarthric/F04_2_0090.wav|zero
/data/TORGO/dysarthric/F03_3_0125.wav|bitten
/data/TORGO/dysarthric/F03_3_0200.wav|no
/data/TORGO/dysarthric/M04_2_0016.wav|jacket
/data/TORGO/dysarthric/F03_3_0134.wav|the prospect of cutting back spending is an unpleasant one for any governor
/data/TORGO/dysarthric/F04_1_0074.wav|range
/data/TORGO/dysarthric/M02_2_0192.wav|top
/data/TORGO/dysarthric/F04_2_0099.wav|dark
/data/TORGO/dysarthric/F03_1_0188.wav|one validated acts of school districts
/data/TORGO/dysarthric/M04_2_0159.wav|pad
/data/TORGO/dysarthric/M03_2_0245.wav|if you destroy confidence in banks you do something to the economy he said
/data/TORGO/dysarthric/M05_2_0221.wav|papa
/data/TORGO/dysarthric/F03_1_0138.wav|were
/data/TORGO/dysarthric/M04_2_0079.wav|feed
/data/TORGO/dysarthric/F01_1_0008.wav|except in the winter when the ooze or snow or ice prevents
/data/TORGO/dysarthric/M03_2_0084.wav|go
/data/TORGO/dysarthric/M03_2_0369.wav|nine
/data/TORGO/dysarthric/M04_2_0007.wav|grandfather likes to be modern in his language
/data/TORGO/dysarthric/M01_2_3_0104.wav|prior
/data/TORGO/dysarthric/F03_1_0120.wav|meat
/data/TORGO/dysarthric/F03_2_0036.wav|thigh
/data/TORGO/dysarthric/F03_1_0199.wav|tie
/data/TORGO/dysarthric/F04_2_0041.wav|we gathered shells on the beach
/data/TORGO/dysarthric/M03_2_0395.wav|dress
/data/TORGO/dysarthric/F04_1_0076.wav|jagged
/data/TORGO/dysarthric/F03_1_0146.wav|sigh
/data/TORGO/dysarthric/F04_1_0122.wav|dagger
/data/TORGO/dysarthric/M03_2_0153.wav|rocks
/data/TORGO/dysarthric/F03_3_0117.wav|he is definitely a notch above us
/data/TORGO/dysarthric/F04_1_0174.wav|youre used to being on the field
/data/TORGO/dysarthric/F04_2_0062.wav|jane may earn more money by working hard
/data/TORGO/dysarthric/M03_2_0307.wav|november
/data/TORGO/dysarthric/F03_1_0066.wav|bubble
/data/TORGO/dysarthric/M04_2_0263.wav|write
/data/TORGO/dysarthric/M02_1_0166.wav|single
/data/TORGO/dysarthric/F03_1_0092.wav|swore
/data/TORGO/dysarthric/F03_3_0155.wav|fork
/data/TORGO/dysarthric/F03_2_0122.wav|i have had my bell rung
/data/TORGO/dysarthric/M05_1_0013.wav|race
/data/TORGO/dysarthric/M03_2_0139.wav|no
/data/TORGO/dysarthric/F03_2_0069.wav|echo
/data/TORGO/dysarthric/F03_2_0060.wav|cart
/data/TORGO/dysarthric/M04_2_0193.wav|delta
/data/TORGO/dysarthric/M05_2_0236.wav|the misguided souls have lost their way
/data/TORGO/dysarthric/F01_1_0106.wav|yet he still thinks as swiftly as ever
/data/TORGO/dysarthric/M03_2_0406.wav|nod
/data/TORGO/dysarthric/F03_3_0124.wav|bitten
/data/TORGO/dysarthric/M03_2_0114.wav|the
/data/TORGO/dysarthric/M05_2_0306.wav|best
/data/TORGO/dysarthric/M04_1_0040.wav|grandfather likes to be modern in his language
/data/TORGO/dysarthric/M03_2_0269.wav|brought
/data/TORGO/dysarthric/F04_2_0219.wav|wicked
/data/TORGO/dysarthric/M03_2_0420.wav|the prospect of cutting back spending is an unpleasant one for any governor
/data/TORGO/dysarthric/M05_1_0126.wav|air
/data/TORGO/dysarthric/F04_1_0040.wav|two
/data/TORGO/dysarthric/M04_2_0150.wav|were
/data/TORGO/dysarthric/F03_2_0022.wav|jungle
/data/TORGO/dysarthric/M02_1_0162.wav|were
/data/TORGO/dysarthric/M02_1_0221.wav|back
/data/TORGO/dysarthric/F04_2_0171.wav|vat
/data/TORGO/dysarthric/M04_1_0028.wav|trait
/data/TORGO/dysarthric/M01_2_3_0091.wav|sleep
/data/TORGO/dysarthric/M02_1_0150.wav|are your grades higher or lower than nancys
/data/TORGO/dysarthric/M05_2_0245.wav|zero
/data/TORGO/dysarthric/M04_1_0067.wav|rate
/data/TORGO/dysarthric/M05_2_0233.wav|and
/data/TORGO/dysarthric/M02_2_0210.wav|quebec
/data/TORGO/dysarthric/M05_2_0261.wav|sergeant
/data/TORGO/dysarthric/M05_1_0060.wav|swarm
/data/TORGO/dysarthric/F03_1_0104.wav|beat
/data/TORGO/dysarthric/M02_2_0119.wav|the misguided souls have lost their way
/data/TORGO/dysarthric/F03_1_0073.wav|knee
/data/TORGO/dysarthric/M04_2_0119.wav|chair
/data/TORGO/dysarthric/F03_2_0048.wav|group
/data/TORGO/dysarthric/M02_1_0080.wav|he slowly takes a short walk in the open air each day
/data/TORGO/dysarthric/M05_1_0034.wav|rave
/data/TORGO/dysarthric/M05_2_0049.wav|the islands are sparsely populated
/data/TORGO/dysarthric/F04_2_0221.wav|no
/data/TORGO/dysarthric/M01_2_3_0283.wav|hat
/data/TORGO/dysarthric/M05_2_0157.wav|start
/data/TORGO/dysarthric/M01_2_3_0286.wav|brought
/data/TORGO/dysarthric/F03_1_0176.wav|dot
/data/TORGO/dysarthric/F04_2_0234.wav|sand
/data/TORGO/dysarthric/M02_1_0033.wav|share
/data/TORGO/dysarthric/M04_2_0281.wav|aluminum silverware can often be flimsy
/data/TORGO/dysarthric/F04_2_0147.wav|it eventually became a rather proud claim
/data/TORGO/dysarthric/F04_1_0138.wav|wish
/data/TORGO/dysarthric/M05_2_0010.wav|light
/data/TORGO/dysarthric/M05_2_0324.wav|wicker
/data/TORGO/dysarthric/M05_1_0129.wav|go
/data/TORGO/dysarthric/M05_2_0116.wav|side
/data/TORGO/dysarthric/M01_2_3_0003.wav|gadget
/data/TORGO/dysarthric/F03_3_0186.wav|goose
/data/TORGO/dysarthric/F03_3_0091.wav|red
/data/TORGO/dysarthric/M02_1_0023.wav|well he is nearly ninety three years old
/data/TORGO/dysarthric/M03_2_0076.wav|beat
/data/TORGO/dysarthric/M05_2_0302.wav|sing
/data/TORGO/dysarthric/M03_2_0292.wav|reek
/data/TORGO/dysarthric/M05_2_0149.wav|six
/data/TORGO/dysarthric/M05_1_0109.wav|air
/data/TORGO/dysarthric/M02_2_0088.wav|two other cases also were under advisement
/data/TORGO/dysarthric/M05_2_0007.wav|sigh
/data/TORGO/dysarthric/M04_2_0117.wav|knew
/data/TORGO/dysarthric/M05_2_0199.wav|mitten
/data/TORGO/dysarthric/M02_2_0082.wav|yes
/data/TORGO/dysarthric/M04_2_0130.wav|whoop
/data/TORGO/dysarthric/M05_2_0079.wav|slay
/data/TORGO/dysarthric/M03_2_0064.wav|chair
/data/TORGO/dysarthric/F03_2_0104.wav|sitting
/data/TORGO/dysarthric/M02_1_0193.wav|though
/data/TORGO/dysarthric/F03_1_0099.wav|slip
/data/TORGO/dysarthric/F04_2_0170.wav|she wore warm fleecy woolen overalls
/data/TORGO/dysarthric/M04_2_0231.wav|the train approached the depot slowly
/data/TORGO/dysarthric/M05_2_0234.wav|harp
/data/TORGO/dysarthric/M02_2_0077.wav|gnaw
/data/TORGO/dysarthric/M03_2_0383.wav|knitting
/data/TORGO/dysarthric/M05_2_0020.wav|no
/data/TORGO/dysarthric/F04_1_0092.wav|except in the winter when the ooze or snow or ice prevents
/data/TORGO/dysarthric/M04_2_0032.wav|dont ask me to carry an oily rag like that
/data/TORGO/dysarthric/M05_1_0127.wav|knee
/data/TORGO/dysarthric/M01_2_3_0275.wav|swing your arm as high as you can
/data/TORGO/dysarthric/M02_1_0065.wav|no
/data/TORGO/dysarthric/F04_2_0003.wav|slay
/data/TORGO/dysarthric/M01_2_3_0264.wav|witch
/data/TORGO/dysarthric/M04_2_0060.wav|he slowly takes a short walk in the open air each day
/data/TORGO/dysarthric/F04_1_0141.wav|hear
/data/TORGO/dysarthric/F03_3_0174.wav|you want him to do well
/data/TORGO/dysarthric/M02_1_0102.wav|air
/data/TORGO/dysarthric/M05_2_0389.wav|the hotel man
/data/TORGO/dysarthric/M02_1_0066.wav|yet he still thinks as swiftly as ever
/data/TORGO/dysarthric/M05_2_0174.wav|knitting
/data/TORGO/dysarthric/F04_2_0134.wav|witty
/data/TORGO/dysarthric/F03_3_0135.wav|etiquette mandates compliance with existing regulations
/data/TORGO/dysarthric/F04_2_0112.wav|pitting
/data/TORGO/dysarthric/F03_1_0110.wav|up
/data/TORGO/dysarthric/M02_1_0196.wav|their house is grey and white
/data/TORGO/dysarthric/M01_2_3_0176.wav|zero
/data/TORGO/dysarthric/M04_2_0256.wav|coupe
/data/TORGO/dysarthric/M05_2_0057.wav|we gathered shells on the beach
/data/TORGO/dysarthric/F04_1_0070.wav|feed
/data/TORGO/dysarthric/F04_1_0184.wav|two other cases also were under advisement
/data/TORGO/dysarthric/M02_2_0089.wav|briar
/data/TORGO/dysarthric/F04_2_0228.wav|the owners regularly look for plumbing leaks
/data/TORGO/dysarthric/F03_2_0120.wav|fitting
/data/TORGO/dysarthric/M05_1_0106.wav|share
/data/TORGO/dysarthric/M03_2_0367.wav|papa
/data/TORGO/dysarthric/F01_1_0124.wav|gadget
/data/TORGO/dysarthric/F04_2_0247.wav|please open the window quickly
/data/TORGO/dysarthric/M02_2_0130.wav|seed
